─── Stage 3: Scrape page content ───
Gyms with relevant pages: 2036
Will process:             2036
Concurrency:              6


  948/2036 — scraped 919, all-failed 29  
  954/2036 — scraped 925, all-failed 29  
  960/2036 — scraped 931, all-failed 29  
  966/2036 — scraped 937, all-failed 29  
  972/2036 — scraped 943, all-failed 29  
  978/2036 — scraped 949, all-failed 29  
  984/2036 — scraped 953, all-failed 31  
  990/2036 — scraped 958, all-failed 32  
  996/2036 — scraped 962, all-failed 34  
  1002/2036 — scraped 967, all-failed 35  
  1008/2036 — scraped 971, all-failed 37  
  1014/2036 — scraped 977, all-failed 37  
  1020/2036 — scraped 982, all-failed 38  
  1026/2036 — scraped 987, all-failed 39  
  1032/2036 — scraped 993, all-failed 39  
  1038/2036 — scraped 998, all-failed 40  
  1044/2036 — scraped 1002, all-failed 42  
  1050/2036 — scraped 1008, all-failed 42  
  1056/2036 — scraped 1014, all-failed 42  
  1062/2036 — scraped 1020, all-failed 42  
  1068/2036 — scraped 1026, all-failed 42  
  1074/2036 — scraped 1032, all-failed 42  
  1080/2036 — scraped 1038, all-failed 42  
  1086/2036 — scraped 1042, all-failed 44  
  1092/2036 — scraped 1048, all-failed 44  
  1098/2036 — scraped 1053, all-failed 45  
  1104/2036 — scraped 1059, all-failed 45  
  1110/2036 — scraped 1065, all-failed 45  
  1116/2036 — scraped 1071, all-failed 45  
  1122/2036 — scraped 1076, all-failed 46  
  1128/2036 — scraped 1082, all-failed 46  
  1134/2036 — scraped 1084, all-failed 50  
  1140/2036 — scraped 1090, all-failed 50  
  1146/2036 — scraped 1096, all-failed 50  
  1152/2036 — scraped 1102, all-failed 50  
  1158/2036 — scraped 1108, all-failed 50  
  1164/2036 — scraped 1112, all-failed 52  
  1170/2036 — scraped 1118, all-failed 52  
  1176/2036 — scraped 1123, all-failed 53  
  1182/2036 — scraped 1128, all-failed 54  
  1188/2036 — scraped 1133, all-failed 55  
  1194/2036 — scraped 1139, all-failed 55  
  1200/2036 — scraped 1145, all-failed 55  
  1206/2036 — scraped 1151, all-failed 55  
  1212/2036 — scraped 1157, all-failed 55  
  1218/2036 — scraped 1162, all-failed 56  
  1224/2036 — scraped 1167, all-failed 57  
  1230/2036 — scraped 1173, all-failed 57  
  1236/2036 — scraped 1178, all-failed 58  
  1242/2036 — scraped 1184, all-failed 58  
  1248/2036 — scraped 1189, all-failed 59  
  1254/2036 — scraped 1195, all-failed 59  
  1260/2036 — scraped 1201, all-failed 59  
  1266/2036 — scraped 1206, all-failed 60  
  1272/2036 — scraped 1212, all-failed 60  
  1278/2036 — scraped 1217, all-failed 61  
  1284/2036 — scraped 1222, all-failed 62  
  1290/2036 — scraped 1228, all-failed 62  
  1296/2036 — scraped 1234, all-failed 62  
  1302/2036 — scraped 1240, all-failed 62  
  1308/2036 — scraped 1246, all-failed 62  
  1314/2036 — scraped 1252, all-failed 62  
  1320/2036 — scraped 1257, all-failed 63  
  1326/2036 — scraped 1263, all-failed 63  
  1332/2036 — scraped 1268, all-failed 64  
  1338/2036 — scraped 1273, all-failed 65  
  1344/2036 — scraped 1278, all-failed 66  
  1350/2036 — scraped 1282, all-failed 68  
  1356/2036 — scraped 1286, all-failed 70  
  1362/2036 — scraped 1292, all-failed 70  
  1368/2036 — scraped 1298, all-failed 70  
  1374/2036 — scraped 1304, all-failed 70  
  1380/2036 — scraped 1310, all-failed 70  
  1386/2036 — scraped 1315, all-failed 71  
  1392/2036 — scraped 1320, all-failed 72  
  1398/2036 — scraped 1325, all-failed 73  
  1404/2036 — scraped 1329, all-failed 75  
  1410/2036 — scraped 1334, all-failed 76  
  1416/2036 — scraped 1340, all-failed 76  
  1422/2036 — scraped 1346, all-failed 76  
  1428/2036 — scraped 1351, all-failed 77  
  1434/2036 — scraped 1357, all-failed 77  
  1440/2036 — scraped 1362, all-failed 78  
  1446/2036 — scraped 1368, all-failed 78  
  1452/2036 — scraped 1373, all-failed 79  
  1458/2036 — scraped 1379, all-failed 79  
  1464/2036 — scraped 1384, all-failed 80  
  1470/2036 — scraped 1390, all-failed 80  
  1476/2036 — scraped 1396, all-failed 80  
  1482/2036 — scraped 1401, all-failed 81  
  1488/2036 — scraped 1407, all-failed 81  
  1494/2036 — scraped 1412, all-failed 82  
  1500/2036 — scraped 1418, all-failed 82  
  1506/2036 — scraped 1423, all-failed 83  
  1512/2036 — scraped 1429, all-failed 83  
  1518/2036 — scraped 1434, all-failed 84  
  1524/2036 — scraped 1438, all-failed 86  
  1530/2036 — scraped 1444, all-failed 86  
  1536/2036 — scraped 1450, all-failed 86  
  1542/2036 — scraped 1456, all-failed 86  
  1548/2036 — scraped 1462, all-failed 86  
  1554/2036 — scraped 1468, all-failed 86  
  1560/2036 — scraped 1474, all-failed 86  
  1566/2036 — scraped 1480, all-failed 86  
  1572/2036 — scraped 1486, all-failed 86  
  1578/2036 — scraped 1491, all-failed 87  
  1584/2036 — scraped 1497, all-failed 87  
  1590/2036 — scraped 1503, all-failed 87  
  1596/2036 — scraped 1508, all-failed 88  
  1602/2036 — scraped 1513, all-failed 89  
  1608/2036 — scraped 1519, all-failed 89  
  1614/2036 — scraped 1524, all-failed 90  
  1620/2036 — scraped 1529, all-failed 91  
  1626/2036 — scraped 1535, all-failed 91  
  1632/2036 — scraped 1541, all-failed 91  
  1638/2036 — scraped 1547, all-failed 91  
  1644/2036 — scraped 1553, all-failed 91  
  1650/2036 — scraped 1559, all-failed 91  
  1656/2036 — scraped 1565, all-failed 91  
  1662/2036 — scraped 1571, all-failed 91  
